"","MG","Rod","AC","BC","Cone","HC","RGC"
"STPG1",0.0783505154639175,0.259824152162211,0.150333016175071,0.132662684690349,0.617886178861789,0.173708920187793,0.670103092783505
"NIPAL3",0.220618556701031,0.294545128297147,0.691722169362512,0.404589751650424,1.42479674796748,0.497652582159624,2.04123711340206
"RCAN3",0.0701030927835052,0.1985465637897,0.233111322549952,0.243005344231374,0.83739837398374,0.13849765258216,0.402061855670103
"SRRM1",0.754639175257732,0.550870267360488,0.778306374881066,0.786545111600126,1.01016260162602,0.713615023474178,1.01030927835052
"CLIC4",0.111340206185567,0.604252646689395,0.0475737392959087,0.0220056585979252,0.599593495934959,0.0234741784037559,0.164948453608247
"SYF2",0.121649484536082,0.104162928404809,0.177925784966698,0.156868909148067,0.140243902439024,0.291079812206573,0.206185567010309
"C1orf63",1.16082474226804,0.685896285663018,1.01617507136061,0.643822697265011,1.77642276422764,1.2206572769953,3.52577319587629
"TMEM50A",0.22680412371134,0.157365871164543,0.308277830637488,0.273813266268469,0.247967479674797,0.37793427230047,0.494845360824742
"RHCE",0.367010309278351,0.0622644895029607,0.101807802093245,0.0987110971392644,0.152439024390244,0.105633802816901,0.216494845360825
"TMEM57",0.43298969072165,0.324421317064418,1.2721217887726,0.769254951273185,0.884146341463415,1.14319248826291,2.2680412371134
"LDLRAP1",0.0329896907216495,0.10586757581195,0.0666032350142721,0.00691606413077649,0.148373983739837,0.636150234741784,0.257731958762887
"MAN1C1",0.428865979381443,0.0980620850529338,0.740247383444339,0.46180446400503,3.40447154471545,0.995305164319249,1.87628865979381
"RP1-187B23.1",0.111340206185567,0.0209940785932173,0.110371075166508,0.0569003458032065,0.908536585365854,0.133802816901408,0.360824742268041
"MTFR1L",0.0618556701030928,0.0855912434954244,0.209324452901998,0.109399559886828,0.178861788617886,0.2018779342723,0.505154639175258
"STMN1",0.336082474226804,0.270769782881751,1.28163653663178,0.930839358692235,0.723577235772358,2.30985915492958,0.422680412371134
"PAFAH2",0.0824742268041237,0.0981518033375202,0.149381541389153,0.135806350204338,0.398373983739837,0.126760563380282,0.206185567010309
"PDIK1L",0.0536082474226804,0.0825408218194868,0.155090390104662,0.105312794718642,0.121951219512195,0.126760563380282,0.123711340206186
"CEP85",0.0371134020618557,0.153597703211915,0.180780209324453,0.187362464633763,0.221544715447154,0.13849765258216,0.525773195876289
"SH3BGRL3",0.0288659793814433,0.0205454871702853,0.077069457659372,0.0374096196164728,0.0264227642276423,0.115023474178404,0.206185567010309
"UBXN11",0.0371134020618557,0.135384891440876,0.0523311132254995,0.032065388242691,0.339430894308943,0.0633802816901408,0.0515463917525773
"DHDDS",0.101030927835052,0.565494347748071,0.327307326355852,0.196164728072933,3.03861788617886,0.154929577464789,1.48453608247423
"RP3-476K8.3",0.0268041237113402,0.0698008254082182,0.0447193149381541,0.055014146494813,0.390243902439024,0.0305164319248826,0.0515463917525773
"HMGN2",0.31340206185567,0.709402476224655,0.817316841103711,0.700408676516819,1.14024390243902,1.07746478873239,0.360824742268041
"ARID1A",0.785567010309278,0.465907051857169,0.814462416745956,0.731216598553914,1.19308943089431,0.976525821596244,1.28865979381443
"ZDHHC18",0.0206185567010309,0.166606854476942,0.212178877259753,0.163470606727444,0.203252032520325,0.230046948356807,0.412371134020619
"GPN2",0.0412371134020619,0.0490759016687601,0.101807802093245,0.0845646023263125,0.0813008130081301,0.133802816901408,0.103092783505155
"NUDC",0.167010309278351,0.161851785393863,0.264509990485252,0.207796290474694,0.264227642276423,0.47887323943662,0.412371134020619
"TRNP1",0.103092783505155,0.0421675937556074,0.116079923882017,1.10499842816724,0.0528455284552846,0.129107981220657,0.371134020618557
"SLC9A1",0.123711340206186,0.0279921047909564,0.290199809705043,0.0524992140836215,0.0711382113821138,0.368544600938967,0.443298969072165
"WDTC1",0.364948453608247,0.676745020635205,0.316841103710752,0.362150267211569,1.38008130081301,0.213615023474178,1.05154639175258
"TMEM222",0.138144329896907,0.0787726538668581,0.337773549000951,0.199622760138321,0.136178861788618,0.345070422535211,0.257731958762887
"WASF2",0.393814432989691,0.147766014713799,0.339676498572788,0.18233259981138,0.298780487804878,0.375586854460094,0.690721649484536
"AHDC1",0.183505154639175,0.015072671810515,0.56232159847764,0.235146180446401,0.0203252032520325,0.42018779342723,0.783505154639175
"IFI6",0.0597938144329897,0.00789520904360309,0.122740247383444,0.055014146494813,0.0528455284552846,0.0610328638497653,0.0206185567010309
"FAM76A",0.152577319587629,0.220258388659609,0.446241674595623,0.28230116315624,0.5,0.276995305164319,1.16494845360825
"STX12",0.342268041237113,0.384173694598959,0.538534728829686,0.39421565545426,1.3760162601626,0.373239436619718,1.55670103092784
"PPP1R8",0.0804123711340206,0.0768885698905437,0.117031398667935,0.106570260924238,0.134146341463415,0.136150234741784,0.195876288659794
